disaster_id,disaster_state,disaster_county,disaster_state_code,disaster_county_code,disaster_declaration,disaster_name,disaster_type,disaster_date,disaster_fips_code
DR-732-FL,FL,DeSoto (County),12,027,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12027
DR-732-FL,FL,Lee (County),12,071,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12071
DR-698-FL,FL,Seminole (County),12,117,DR,FREEZING TEMPERATURES,Freezing,1983-12-24T05:00:00.000Z,12117
DR-698-FL,FL,Polk (County),12,105,DR,FREEZING TEMPERATURES,Freezing,1983-12-24T05:00:00.000Z,12105
DR-732-FL,FL,Hendry (County),12,051,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12051
DR-756-FL,FL,Gadsden (County),12,039,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12039
DR-732-FL,FL,Hillsborough (County),12,057,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12057
DR-732-FL,FL,Charlotte (County),12,015,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12015
DR-851-FL,FL,Broward (County),12,011,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12011
DR-851-FL,FL,Indian River (County),12,061,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12061
DR-851-FL,FL,Glades (County),12,043,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12043
DR-851-FL,FL,Pinellas (County),12,103,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12103
DR-851-FL,FL,Pasco (County),12,101,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12101
DR-743-FL,FL,Hillsborough (County),12,057,DR,HURRICANE ELENA,Hurricane,1985-08-29T04:00:00.000Z,12057
DR-732-FL,FL,Polk (County),12,105,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12105
DR-851-FL,FL,Marion (County),12,083,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12083
DR-732-FL,FL,Dade (County),12,086,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12086
DR-732-FL,FL,Osceola (County),12,097,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12097
DR-756-FL,FL,Leon (County),12,073,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12073
DR-756-FL,FL,Gulf (County),12,045,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12045
DR-862-FL,FL,Calhoun (County),12,013,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12013
DR-732-FL,FL,Manatee (County),12,081,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12081
DR-743-FL,FL,Pinellas (County),12,103,DR,HURRICANE ELENA,Hurricane,1985-08-29T04:00:00.000Z,12103
DR-732-FL,FL,Lake (County),12,069,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12069
DR-851-FL,FL,Charlotte (County),12,015,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12015
DR-862-FL,FL,Gulf (County),12,045,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12045
DR-851-FL,FL,Manatee (County),12,081,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12081
DR-851-FL,FL,DeSoto (County),12,027,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12027
DR-743-FL,FL,Levy (County),12,075,DR,HURRICANE ELENA,Hurricane,1985-08-29T04:00:00.000Z,12075
DR-862-FL,FL,Washington (County),12,133,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12133
DR-851-FL,FL,Hendry (County),12,051,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12051
DR-862-FL,FL,Santa Rosa (County),12,113,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12113
DR-851-FL,FL,Lake (County),12,069,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12069
DR-955-FL,FL,Dade (County),12,086,DR,HURRICANE ANDREW,Hurricane,1992-08-24T04:00:00.000Z,12086
DR-756-FL,FL,Wakulla (County),12,129,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12129
DR-851-FL,FL,Collier (County),12,021,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12021
DR-851-FL,FL,Volusia (County),12,127,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12127
DR-851-FL,FL,Monroe (County),12,087,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12087
DR-851-FL,FL,Okeechobee (County),12,093,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12093
DR-851-FL,FL,Lee (County),12,071,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12071
DR-851-FL,FL,Palm Beach (County),12,099,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12099
DR-851-FL,FL,Orange (County),12,095,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12095
DR-851-FL,FL,Citrus (County),12,017,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12017
DR-851-FL,FL,Sarasota (County),12,115,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12115
DR-743-FL,FL,Manatee (County),12,081,DR,HURRICANE ELENA,Hurricane,1985-08-29T04:00:00.000Z,12081
DR-756-FL,FL,Franklin (County),12,037,DR,HURRICANE KATE,Hurricane,1985-11-21T05:00:00.000Z,12037
DR-851-FL,FL,St. Lucie (County),12,111,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12111
DR-862-FL,FL,Walton (County),12,131,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12131
DR-862-FL,FL,Gadsden (County),12,039,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12039
DR-732-FL,FL,Orange (County),12,095,DR,SEVERE FREEZE,Freezing,1985-03-18T05:00:00.000Z,12095
DR-851-FL,FL,Hernando (County),12,053,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12053
DR-966-FL,FL,Duval (County),12,031,DR,"SEVERE STORMS, TORNADOES & FLOODING",Severe Storm(s),1992-10-03T04:00:00.000Z,12031
DR-982-FL,FL,Charlotte (County),12,015,DR,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",Tornado,1993-03-12T05:00:00.000Z,12015
DR-966-FL,FL,Clay (County),12,019,DR,"SEVERE STORMS, TORNADOES & FLOODING",Severe Storm(s),1992-10-03T04:00:00.000Z,12019
DR-982-FL,FL,Gilchrist (County),12,041,DR,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",Tornado,1993-03-12T05:00:00.000Z,12041
DR-862-FL,FL,Liberty (County),12,077,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12077
DR-851-FL,FL,Hardee (County),12,049,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12049
DR-982-FL,FL,Taylor (County),12,123,DR,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",Tornado,1993-03-12T05:00:00.000Z,12123
DR-862-FL,FL,Escambia (County),12,033,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12033
DR-952-FL,FL,Sarasota (County),12,115,DR,SEVERE STORMS & FLOODING,Flood,1992-06-23T04:00:00.000Z,12115
DR-851-FL,FL,Brevard (County),12,009,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12009
DR-982-FL,FL,Marion (County),12,083,DR,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",Tornado,1993-03-12T05:00:00.000Z,12083
DR-982-FL,FL,Hendry (County),12,051,DR,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",Tornado,1993-03-12T05:00:00.000Z,12051
DR-982-FL,FL,Putnam (County),12,107,DR,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",Tornado,1993-03-12T05:00:00.000Z,12107
DR-982-FL,FL,Sumter (County),12,119,DR,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",Tornado,1993-03-12T05:00:00.000Z,12119
DR-862-FL,FL,Bay (County),12,005,DR,SEVERE STORMS & FLOODING,Flood,1990-03-16T05:00:00.000Z,12005
DR-851-FL,FL,Dade (County),12,086,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12086
DR-851-FL,FL,Seminole (County),12,117,DR,SEVERE FREEZE,Freezing,1989-12-23T05:00:00.000Z,12117
